id,sentiment
"12311_10",0.9882137454202926
"8348_2",0.02077675294347982
"5828_4",0.5737732046976407
"7186_2",0.6736638756946736
"12128_7",0.9378647834672149
"2913_8",0.7927814132144196
"4396_1",0.01376955629342634
"395_2",0.20146289612443027
"10616_1",0.0004674130652007123
"9074_9",0.4727912055458242
"9252_3",0.038734422553020925
"9896_9",0.7928187607251856
"574_4",0.5575695889591219
"11182_8",0.6893955102899676
"11656_4",0.42002160084818585
"2322_4",0.6080847265016643
"8703_1",0.09342954119880766
"7483_1",0.0642850913774908
"6007_10",0.927697311798326
"12424_4",0.01766641878379655
"4672_1",0.004182383104759168
"10841_3",0.03762810182650247
"8954_7",0.4329128951616486
"7392_1",0.05806420342991785
"10288_8",0.8959424589680896
"5343_4",0.03798129151079759
"4950_1",0.0018556633200958778
"9257_4",0.6155653269905803
"8689_3",0.06339404102028698
"4480_2",0.2005911409232848
"9286_10",0.9782588673499781
"12245_10",0.9984844283224024
"7529_7",0.8655820071309864
"4_4",0.15047917274603334
"5299_2",0.012023452416907181
"12077_8",0.7205518426316911
"10701_2",0.007212239356348956
"11579_1",0.01365840899059223
"10993_1",0.045171151736107515
"8913_1",0.06025101028520506
"1350_3",0.1300615546883312
"3804_2",0.01320232176407259
"5025_3",0.22553864097500922
"5170_8",0.4126357424812017
"8225_8",0.9481942414228113
"6427_7",0.8541805028158496
"3165_3",0.4434220413660143
"7902_9",0.9916737254612783
"8208_3",0.004425604247935097
"3577_8",0.89402879171371
"4865_1",0.042753651089205626
"9063_3",0.1803423097697186
"1106_1",0.3707402803415116
"1117_9",0.9798829582952899
"1050_4",0.3153075683706596
"10755_9",0.6961482810160444
"2729_8",0.8786414968446189
"10072_10",0.9712553485614773
"2904_7",0.9530467991780329
"4584_2",0.527557395198891
"189_4",0.471361638338367
"6302_4",0.16028979296118578
"8138_9",0.8527956732830313
"1262_1",0.08132569475072143
"2199_10",0.9565639549772244
"6551_7",0.8465613811781151
"8082_7",0.3103607028648178
"4897_8",0.9818020294680249
"7360_1",0.025751852105782742
"11012_10",0.929650586048618
"12046_1",0.3659226931512515
"2331_2",0.3586933134674247
"8961_9",0.9420139402978217
